epoch,train_acc,train_loss
1,74.09536413327866,0.5255689964768786
2,78.18535212934877,0.47157867755119254
3,79.33915057118618,0.4459702225616062
4,79.7485629200398,0.43720034688697607
5,79.94706587690676,0.430815418363283
6,80.54257474182843,0.4234029329358967
7,81.07191596645058,0.41461848477232494
8,81.17530292820031,0.4079552413322243
9,81.40688970079987,0.403843899873985
10,81.67569579327207,0.4007574348247878
11,81.69223770098061,0.39766816491007156
12,82.0685662227432,0.3915618640182677
13,82.43248832169105,0.38893617231932326
14,82.30428848402272,0.3839939071613389
15,83.03626814283334,0.37703785382953464
16,83.33815805135366,0.3698633057552711
17,83.39191926915397,0.36749381232308986
18,83.80546710132384,0.36107705507807514
19,84.47127910816099,0.35594676378978046
20,84.46300814058195,0.3525853156168404
21,85.0750589299343,0.3426246915010595
22,85.25701996804979,0.33652825463814473
23,85.63748397943888,0.3300520658990959
24,85.76981928370134,0.32460589970584386
25,85.96005127362028,0.3203668751179652
26,86.54315371478069,0.3151050883999169
27,86.62999875872549,0.30807561365207586
28,86.89466936220222,0.30513581968552766
29,87.353707461,0.29290522292171933
