epoch,train_acc,train_loss
1,71.50241925478682,0
2,76.92816674248377,0
3,78.15640378809809,0
4,78.8801124850089,0
5,80.03391092179811,0
6,80.44745874860428,0
7,81.07605144534965,0
8,81.04296761920516,0
9,81.19598031512345,0
10,81.27041892394855,0
11,81.36139944584592,0
12,81.79976014226045,0
13,81.5888507505893,0
14,81.72532153343535,0
15,81.6426119680741,0
16,81.6756957942186,0
17,81.91141805549812,0
18,81.903147098962,0
19,81.90728257723006,0
20,82.00239857739548,0
21,81.97345022951905,0
22,82.13886936024151,0
23,81.7625408378479,0
24,82.00653405566354,0
25,82.20090153426244,0
26,81.8907406641578,0
27,82.06856622968446,0
28,82.10992101236508,0
29,82.23812083867499,0
30,82.25466275174723,0
31,83.73102849344527,0
32,84.11976345064306,0
33,84.86828501716224,0
34,85.24461353955584,0
35,85.74500640999132,0
36,85.90215458417767,0
37,86.01381249741533,0
38,86.75819858566643,0
39,86.85745006409991,0
40,87.40746867375212,0
41,88.3710351102105,0
42,88.7266862412638,0
43,88.9003763285224,0
44,89.10301476365741,0
45,89.26016293784376,0
46,89.38836276415367,0
47,89.49174972085521,0
48,89.76882676481534,0
49,89.7522848517431,0
50,89.85980728671271,0
51,89.94251685207394,0
52,89.93424589553781,0
53,90.18237459162152,0
54,90.15342624374509,0
55,90.12447789586865,0
56,90.15756172201316,0
57,90.40569041809685,0
58,90.04176833050742,0
59,89.93838137380588,0
60,90.1203424176006,0
